127.0.0.1 - - [05/May/2022:07:20:53 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/May/2022:07:24:02 +0530] "GET /CustomerDemo/login.jsp HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [05/May/2022:07:24:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/May/2022:07:28:24 +0530] "GET /CustomerDemo/login.jsp HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [05/May/2022:07:31:50 +0530] "POST /CustomerDemo/login HTTP/1.1" 200 2452
0:0:0:0:0:0:0:1 - - [05/May/2022:07:32:13 +0530] "GET /CustomerDemo/changepassword.jsp HTTP/1.1" 200 4595
0:0:0:0:0:0:0:1 - - [05/May/2022:07:32:31 +0530] "POST /CustomerDemo/change HTTP/1.1" 500 1486
0:0:0:0:0:0:0:1 - - [05/May/2022:07:49:37 +0530] "GET /CustomerDemo/changepassword.jsp HTTP/1.1" 200 4599
0:0:0:0:0:0:0:1 - - [05/May/2022:07:49:55 +0530] "POST /CustomerDemo/change HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/May/2022:07:52:12 +0530] "POST /CustomerDemo/change HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/May/2022:07:59:45 +0530] "GET /CustomerDemo/changepassword.jsp HTTP/1.1" 200 4614
0:0:0:0:0:0:0:1 - - [05/May/2022:08:00:02 +0530] "POST /CustomerDemo/change HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/May/2022:08:21:30 +0530] "GET /CustomerDemo/changepassword.jsp HTTP/1.1" 200 4610
0:0:0:0:0:0:0:1 - - [05/May/2022:08:21:45 +0530] "POST /CustomerDemo/change HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/May/2022:08:27:06 +0530] "GET /CustomerDemo/changepassword.jsp HTTP/1.1" 200 4610
0:0:0:0:0:0:0:1 - - [05/May/2022:08:27:24 +0530] "POST /CustomerDemo/change HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [05/May/2022:08:27:29 +0530] "GET /CustomerDemo/login.jsp HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [05/May/2022:08:33:33 +0530] "GET /CustomerDemo/login.jsp HTTP/1.1" 200 1874
0:0:0:0:0:0:0:1 - - [05/May/2022:08:33:36 +0530] "GET /CustomerDemo/forgotpassword.jsp HTTP/1.1" 200 4987
0:0:0:0:0:0:0:1 - - [05/May/2022:08:35:09 +0530] "POST /CustomerDemo/reset HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/May/2022:08:36:34 +0530] "GET /CustomerDemo/forgotpassword.jsp HTTP/1.1" 200 4987
0:0:0:0:0:0:0:1 - - [05/May/2022:08:38:00 +0530] "GET /CustomerDemo/forgotpassword.jsp HTTP/1.1" 200 4987
0:0:0:0:0:0:0:1 - - [05/May/2022:08:38:16 +0530] "POST /CustomerDemo/reset HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [05/May/2022:09:56:43 +0530] "POST /CustomerDemo/reset HTTP/1.1" 200 -
